hero,midlane,safelane,offlane,jungle,perfer,lane,dps,push,nuke,durable,initial,disable,healing
sand-king,7.86,7.27,7.7,7.7,Off Lane,7.5,6.5,2.29,6.45,6.5,8.48,8.46,1.05
shadow-demon,8.57,8.14,7.99,8.14,Safe Lane,7.7,4.6,3.72,3.0,3.05,6.03,6.51,4.98
shadow-shaman,6.11,6.02,5.98,0.0,Safe Lane,6.3,5.2,6.18,3.51,1.98,7.05,7.47,2.54
timbersaw,8.04,6.61,7.52,0.0,Off Lane,7.5,8.09,2.76,4.02,8.98,3.96,7.46,1.48
silencer,7.98,8.22,8.44,0.0,Safe Lane,8.5,6.38,4.41,2.5,4.01,5.46,3.47,1.99
wraith-king,0.0,4.89,4.72,4.43,Safe Lane,5.0,6.71,5.78,7.47,9.46,7.55,7.01,3.03
skywrath-mage,7.47,7.1,7.13,0.0,Safe Lane,7.0,6.62,2.39,6.55,2.98,4.98,5.03,2.46
slardar,0.0,6.02,6.87,0.0,Off Lane,6.5,4.47,3.57,6.04,7.47,7.95,9.47,1.04
slark,5.09,4.86,4.44,0.0,Safe Lane,5.0,7.3,5.67,6.05,8.48,2.99,7.99,0.0
sniper,6.99,6.02,6.26,0.0,Mid Lane,7.0,8.2,5.73,5.54,6.99,2.01,3.97,0.04
spectre,0.0,4.18,3.7,0.0,Safe Lane,4.0,9.03,5.0,4.02,7.49,1.97,6.02,0.01
spirit-breaker,7.05,6.33,7.06,0.0,Off Lane,6.5,6.21,3.53,6.03,7.45,7.54,7.99,1.02
storm-spirit,7.11,6.23,0.0,0.0,Mid Lane,7.0,7.55,4.61,7.98,7.99,7.96,8.96,1.52
sven,0.0,6.37,5.91,0.0,Safe Lane,6.5,7.8,6.19,9.52,8.52,6.45,5.0,0.03
techies,9.18,8.55,9.88,8.38,Off Lane,8.5,6.65,1.07,6.51,3.01,6.46,2.01,1.48
templar-assassin,8.8,6.53,6.15,0.0,Mid Lane,7.5,7.03,5.96,8.98,7.01,4.48,7.96,-0.01
terrorblade,6.82,6.38,5.83,0.0,Safe Lane,6.0,6.58,7.1,8.46,7.54,2.04,4.48,1.04
tidehunter,0.0,8.33,9.45,0.0,Off Lane,8.5,5.37,2.76,4.0,9.04,8.96,5.48,2.49
tinker,8.85,0.0,0.0,0.0,Mid Lane,8.5,9.79,0.82,8.45,8.49,2.96,6.52,0.99
tiny,7.41,5.62,5.8,0.0,Safe Lane,6.0,7.18,5.62,8.97,8.05,7.99,6.96,1.05
treant-protector,0.0,7.71,7.83,7.08,Safe Lane,8.0,2.23,2.83,1.0,5.52,6.53,4.53,4.48
troll-warlord,7.14,7.14,6.75,6.41,Safe Lane,7.5,6.7,6.59,7.04,7.96,2.03,6.54,0.03
tusk,5.71,4.91,5.5,0.0,Off Lane,4.2,6.01,3.16,6.01,6.48,7.55,7.5,2.47
undying,0.0,8.52,9.45,0.0,Off Lane,8.2,4.54,2.98,2.96,8.03,7.47,5.5,6.49
underlord,7.13,7.03,9.0,0.0,Off Lane,8.5,6.87,5.08,3.99,7.98,7.49,5.49,4.48
ursa,7.17,6.5,6.76,6.5,Safe Lane,6.5,7.54,4.93,10.01,8.45,8.52,8.03,0.04
vengeful-spirit,5.18,4.97,5.07,0.0,Safe Lane,5.0,4.15,4.18,4.0,4.01,7.5,5.55,5.0
venomancer,9.2,8.87,9.22,8.87,Safe Lane,8.8,7.89,4.35,4.54,7.02,6.47,7.52,2.0
viper,9.22,7.92,8.93,0.0,Mid Lane,8.5,7.23,5.61,4.02,8.5,7.51,7.53,2.5
visage,8.17,7.28,7.19,0.0,Safe Lane,5.7,5.47,4.64,3.96,6.02,6.46,6.97,2.02
warlock,6.96,7.07,7.26,0.0,Safe Lane,7.3,6.85,5.2,3.0,6.05,9.04,5.96,4.52
weaver,8.28,7.74,8.33,0.0,Off Lane,8.0,7.39,6.04,5.54,8.53,3.02,5.55,0.05
windranger,7.75,6.9,7.28,0.0,Mid Lane,7.0,6.36,5.69,7.0,5.01,7.48,7.52,0.99
winter-wyvern,8.17,7.98,7.69,0.0,Safe Lane,7.0,3.48,2.28,1.97,3.98,6.97,3.53,6.49
io,7.19,5.68,6.24,0.0,Safe Lane,4.0,6.79,6.09,3.48,7.04,1.98,7.46,8.98
witch-doctor,8.84,9.05,9.13,0.0,Safe Lane,8.5,5.24,2.79,7.01,3.55,6.48,6.46,5.02
zeus,8.92,7.72,8.11,0.0,Mid Lane,8.0,10.0,2.27,8.05,5.0,3.03,6.51,1.47
