id,result,dps,push,nuke,durable,disable,initial,healing,ac,var,theta
2761900001,0.0,7.642222222222224,6.0504444444444445,7.922222222222223,8.511111111111113,7.666666666666667,8.0,4.25,0.0,0.0,0.0
2761900002,0.0,7.153777777777778,5.256,7.300000000000001,8.255555555555555,8.0,8.375,7.375,0.0,0.0,0.0
2761900006,0.0,7.126,5.9511111111111115,7.455555555555557,7.98888888888889,6.0,8.875,4.5,0.0,0.0,0.0
2761900008,0.0,7.134444444444444,4.773333333333334,7.611111111111111,7.199999999999999,7.833333333333333,8.0,6.875,0.0,0.0,0.0
2761900009,0.0,7.742,4.988222222222222,7.577777777777778,7.555555555555555,7.833333333333333,8.0,1.0,0.0,0.0,0.0
2761900010,0.0,7.571555555555556,6.068888888888889,6.48888888888889,8.61111111111111,7.333333333333333,7.875,2.375,0.0,0.0,0.0
2761900011,0.0,7.796444444444443,5.813777777777778,7.355555555555556,8.322222222222221,7.333333333333333,8.75,3.25,0.0,0.0,0.0
2761900013,0.0,7.146888888888889,4.572666666666666,7.366666666666666,7.98888888888889,7.166666666666667,8.375,2.25,0.0,0.0,0.0
2761900022,0.0,8.093777777777778,5.480888888888889,7.722222222222222,7.322222222222223,6.333333333333333,8.75,4.75,0.0,0.0,0.0
2761900027,0.0,6.287999999999999,5.062666666666667,6.533333333333334,8.155555555555557,8.0,7.5,4.375,0.0,0.0,0.0
2761900028,0.0,6.480888888888889,5.382,4.6000000000000005,6.9111111111111105,7.666666666666667,7.75,6.625,0.0,0.0,0.0
2761900029,0.0,7.072444444444445,4.781333333333333,6.288888888888889,8.522222222222222,7.5,7.875,2.875,0.0,0.0,0.0
2761900031,0.0,7.741333333333334,5.593111111111112,7.366666666666666,7.777777777777778,6.666666666666667,8.25,1.5,0.0,0.0,0.0
2761900034,0.0,6.766444444444446,6.007777777777778,7.933333333333334,8.577777777777778,7.166666666666667,7.875,7.625,0.0,0.0,0.0
2761900045,0.0,7.599555555555556,5.888000000000001,7.844444444444445,7.411111111111111,5.833333333333333,7.5,5.0,0.0,0.0,0.0
2761900048,0.0,7.209555555555555,5.924222222222222,7.7222222222222205,7.566666666666666,6.0,7.875,5.375,0.0,0.0,0.0
2761900049,0.0,7.602444444444444,4.973111111111113,7.822222222222223,7.71111111111111,8.333333333333334,8.75,2.5,0.0,0.0,0.0
2761900050,0.0,7.010444444444444,6.072888888888889,8.222222222222221,8.033333333333333,6.333333333333333,8.75,4.75,0.0,0.0,0.0
2761900053,0.0,7.8164444444444445,5.2188888888888885,7.7444444444444445,7.811111111111113,8.166666666666666,8.375,3.25,0.0,0.0,0.0
2761900068,0.0,7.346888888888889,5.852222222222223,8.08888888888889,8.322222222222221,6.666666666666667,8.0,7.0,0.0,0.0,0.0
2761900069,0.0,7.362222222222223,5.881333333333334,6.955555555555555,7.777777777777778,7.166666666666667,8.875,2.375,0.0,0.0,0.0
2761900071,0.0,7.583111111111112,4.63,7.877777777777776,7.944444444444445,7.833333333333333,8.5,6.375,0.0,0.0,0.0
2761900072,0.0,7.040666666666667,6.109333333333333,7.611111111111111,7.877777777777778,8.666666666666666,8.875,3.25,0.0,0.0,0.0
2761900073,0.0,7.403777777777778,5.697777777777778,6.033333333333334,8.988888888888889,8.0,8.875,4.25,0.0,0.0,0.0
2761900074,0.0,7.142444444444446,5.671555555555555,8.466666666666667,8.600000000000001,8.0,8.375,1.875,0.0,0.0,0.0
2761900075,0.0,6.872888888888888,4.465111111111111,6.2444444444444445,7.3999999999999995,8.666666666666666,8.0,4.75,0.0,0.0,0.0
2761900076,0.0,7.2364444444444445,5.21488888888889,7.277777777777778,8.455555555555556,8.666666666666666,8.75,7.375,0.0,0.0,0.0
2761900085,0.0,7.574444444444446,4.980444444444444,8.088888888888889,8.155555555555557,7.833333333333333,7.625,6.5,0.0,0.0,0.0
2761900086,0.0,7.893111111111111,5.5935555555555565,6.344444444444445,8.288888888888888,5.333333333333333,8.25,6.875,0.0,0.0,0.0
2761900087,0.0,7.140888888888889,5.367111111111112,7.255555555555556,7.988888888888888,6.0,8.25,7.25,0.0,0.0,0.0
2761900089,0.0,7.6804444444444435,6.194444444444445,8.244444444444445,6.98888888888889,8.833333333333334,8.875,4.625,0.0,0.0,0.0
2761900090,0.0,7.32111111111111,5.311333333333334,6.388888888888889,7.988888888888888,8.333333333333334,8.75,4.5,0.0,0.0,0.0
