2765117097,1,Normal,anti-mage,phantom-lancer,wraith-king,shadow-shaman,tusk,warlock,ursa,bristleback,windranger,axe
2765117098,1,Very High,storm-spirit,timbersaw,anti-mage,natures-prophet,axe,medusa,sand-king,undying,enchantress,tinker
2765117099,1,Normal,keeper-of-the-light,natures-prophet,faceless-void,ancient-apparition,anti-mage,necrophos,bounty-hunter,tiny,kunkka,dragon-knight
2765117100,1,Very High,batrider,slark,spirit-breaker,disruptor,storm-spirit,magnus,rubick,ogre-magi,timbersaw,morphling
2765117105,0,Normal,disruptor,centaur-warrunner,mirana,shadow-fiend,axe,lion,invoker,tusk,sniper,templar-assassin
2765117106,1,Normal,razor,winter-wyvern,anti-mage,undying,wraith-king,sniper,phantom-assassin,warlock,axe,oracle
2765117110,1,High,phantom-assassin,bloodseeker,nyx-assassin,outworld-devourer,silencer,kunkka,anti-mage,storm-spirit,pudge,crystal-maiden
2765117111,0,Normal,spectre,slark,invoker,omniknight,spirit-breaker,faceless-void,pudge,kunkka,axe,lone-druid
2765117112,0,Very High,timbersaw,necrophos,shadow-fiend,nyx-assassin,luna,zeus,keeper-of-the-light,juggernaut,outworld-devourer,bristleback
2765117117,0,Normal,ursa,spirit-breaker,abaddon,timbersaw,phantom-assassin,shadow-fiend,ogre-magi,skywrath-mage,sniper,riki
2765117119,0,High,spectre,timbersaw,crystal-maiden,sand-king,ogre-magi,keeper-of-the-light,tidehunter,slark,queen-of-pain,lion
2765117128,0,Normal,ember-spirit,crystal-maiden,mirana,phantom-assassin,earthshaker,broodmother,invoker,spectre,legion-commander,skywrath-mage
2765117132,0,Normal,wraith-king,sniper,magnus,pugna,pudge,riki,invoker,dragon-knight,bristleback,lifestealer
2765117134,0,Normal,windranger,lina,legion-commander,undying,tiny,earthshaker,spirit-breaker,enchantress,alchemist,sniper
2765117135,0,Normal,phantom-lancer,night-stalker,phantom-assassin,legion-commander,bounty-hunter,keeper-of-the-light,bloodseeker,earthshaker,batrider,medusa
2765117138,1,Normal,windranger,pugna,lion,bloodseeker,chaos-knight,ember-spirit,natures-prophet,anti-mage,huskar,phantom-assassin
2765117141,0,High,spectre,storm-spirit,magnus,lich,riki,ancient-apparition,lion,ursa,phantom-assassin,shadow-fiend
2765117142,1,High,phoenix,ursa,ancient-apparition,riki,windranger,puck,witch-doctor,omniknight,sand-king,spectre
2765117143,0,Normal,sniper,legion-commander,bloodseeker,rubick,meepo,tiny,slark,slardar,faceless-void,phantom-assassin
2765117144,0,Normal,pudge,drow-ranger,lifestealer,tinker,axe,bane,invoker,chaos-knight,bloodseeker,shadow-shaman
2765117145,1,Unknown,slark,bloodseeker,anti-mage,phantom-assassin,silencer,legion-commander,clinkz,viper,lion,riki
2765117146,0,Very High,silencer,mirana,huskar,oracle,legion-commander,phantom-assassin,winter-wyvern,windranger,pudge,magnus
2765117147,0,Normal,keeper-of-the-light,sniper,anti-mage,mirana,nyx-assassin,slark,windranger,dazzle,ogre-magi,pudge
2765117152,0,Normal,luna,sniper,anti-mage,timbersaw,lina,underlord,enchantress,invoker,bloodseeker,pudge
2765117154,0,Normal,templar-assassin,faceless-void,axe,terrorblade,riki,drow-ranger,pudge,vengeful-spirit,sniper,pugna
2765117170,1,Very High,outworld-devourer,riki,abaddon,invoker,slark,disruptor,bloodseeker,sven,queen-of-pain,legion-commander
2765117175,0,Normal,invoker,earthshaker,wraith-king,tusk,witch-doctor,bloodseeker,pudge,medusa,meepo,lone-druid
2765117178,1,Normal,slardar,tiny,arc-warden,luna,earthshaker,zeus,juggernaut,drow-ranger,riki,venomancer
2765117179,0,Normal,dazzle,abaddon,phantom-assassin,troll-warlord,lone-druid,bloodseeker,bounty-hunter,spirit-breaker,silencer,wraith-king
2765117180,0,Normal,centaur-warrunner,spirit-breaker,sniper,pudge,medusa,outworld-devourer,riki,terrorblade,tusk,zeus
2765117181,1,Normal,lifestealer,lina,riki,timbersaw,arc-warden,storm-spirit,legion-commander,drow-ranger,earthshaker,vengeful-spirit
2765117182,1,Normal,ogre-magi,invoker,warlock,phantom-assassin,timbersaw,witch-doctor,faceless-void,bounty-hunter,slark,puck
2765117183,1,Normal,lich,ember-spirit,viper,phantom-assassin,sniper,luna,necrophos,axe,faceless-void,dark-seer
2765117184,0,Normal,silencer,kunkka,slark,ember-spirit,timbersaw,morphling,lion,chaos-knight,bristleback,keeper-of-the-light
2765117185,0,Normal,drow-ranger,luna,lion,kunkka,phantom-assassin,legion-commander,sniper,skywrath-mage,tiny,pudge
2765117187,1,Normal,invoker,earthshaker,slark,gyrocopter,razor,faceless-void,wraith-king,clinkz,omniknight,huskar
2765117205,0,Unknown,zeus,invoker,sven,lifestealer,storm-spirit,pudge,lich,viper,dragon-knight,terrorblade
2765117206,0,Unknown,axe,spirit-breaker,phantom-assassin,chaos-knight,drow-ranger,windranger,bristleback,faceless-void,alchemist,invoker
2765117207,1,Normal,winter-wyvern,witch-doctor,wraith-king,dazzle,bane,weaver,riki,windranger,legion-commander,abaddon
2765117208,1,High,crystal-maiden,weaver,oracle,kunkka,invoker,centaur-warrunner,magnus,rubick,ancient-apparition,terrorblade
2765117209,0,Very High,clinkz,disruptor,ursa,invoker,anti-mage,witch-doctor,huskar,tinker,legion-commander,phantom-lancer
2765117210,1,Normal,crystal-maiden,lion,invoker,ursa,sven,lich,night-stalker,troll-warlord,magnus,outworld-devourer
2765117212,0,Unknown,tinker,timbersaw,slark,wraith-king,shadow-shaman,bloodseeker,invoker,night-stalker,skywrath-mage,razor
2765117213,1,High,invoker,spirit-breaker,juggernaut,omniknight,ogre-magi,necrophos,lifestealer,legion-commander,chaos-knight,axe
2765117214,1,Normal,axe,sven,enigma,clinkz,disruptor,huskar,invoker,bounty-hunter,warlock,wraith-king
2765117216,0,Normal,warlock,kunkka,phantom-assassin,venomancer,keeper-of-the-light,clockwerk,earthshaker,anti-mage,witch-doctor,phoenix
2765117218,0,Normal,mirana,vengeful-spirit,natures-prophet,naga-siren,phantom-assassin,legion-commander,sven,templar-assassin,juggernaut,lina
2765117219,0,Normal,lifestealer,spirit-breaker,witch-doctor,shadow-fiend,bristleback,invoker,slark,riki,juggernaut,templar-assassin
2765117220,1,High,earthshaker,venomancer,slark,necrophos,bloodseeker,phantom-assassin,rubick,tidehunter,kunkka,mirana
2765117221,0,Unknown,legion-commander,lifestealer,bristleback,lion,shadow-fiend,sniper,invoker,omniknight,phantom-assassin,anti-mage
2765117223,0,Normal,ursa,night-stalker,clockwerk,phantom-assassin,necrophos,kunkka,brewmaster,pudge,slark,death-prophet
2765117225,0,Normal,alchemist,crystal-maiden,undying,riki,anti-mage,slardar,pudge,tinker,bloodseeker,viper
2765117226,0,Very High,omniknight,razor,alchemist,phantom-assassin,magnus,bristleback,jakiro,invoker,sven,kunkka
2765117229,0,Normal,dazzle,tinker,spirit-breaker,sven,magnus,tidehunter,axe,anti-mage,invoker,windranger
2765117230,0,Normal,earth-spirit,timbersaw,silencer,pudge,morphling,slark,tinker,warlock,legion-commander,tiny
2765117231,1,Very High,kunkka,disruptor,nyx-assassin,spectre,shadow-fiend,undying,skywrath-mage,mirana,tiny,anti-mage
2765117232,0,Normal,ursa,invoker,lion,venomancer,juggernaut,dazzle,anti-mage,wraith-king,kunkka,treant-protector
2765117234,0,High,crystal-maiden,leshrac,spirit-breaker,riki,spectre,shadow-fiend,legion-commander,invoker,pudge,juggernaut
2765117260,0,Very High,bristleback,bloodseeker,storm-spirit,morphling,invoker,tidehunter,batrider,disruptor,anti-mage,spirit-breaker
2765117261,0,Normal,undying,medusa,anti-mage,bloodseeker,axe,skywrath-mage,bounty-hunter,wraith-king,mirana,chaos-knight
2765117263,0,Normal,phantom-assassin,ursa,slark,naga-siren,invoker,pudge,clinkz,spirit-breaker,skywrath-mage,sven
2765117265,1,Normal,mirana,sven,enigma,juggernaut,axe,viper,sand-king,timbersaw,phantom-assassin,silencer
2765117266,1,Normal,lone-druid,spirit-breaker,phantom-assassin,riki,huskar,sven,tinker,pudge,treant-protector,bristleback
2765117267,0,Normal,sven,legion-commander,anti-mage,earthshaker,sniper,meepo,ember-spirit,drow-ranger,spirit-breaker,riki
2765117270,1,Unknown,slark,drow-ranger,alchemist,dazzle,bristleback,mirana,natures-prophet,spirit-breaker,legion-commander,rubick
2765117272,0,Normal,shadow-fiend,ancient-apparition,spectre,necrophos,axe,huskar,phantom-assassin,bounty-hunter,batrider,lion
2765117273,1,Normal,drow-ranger,slardar,terrorblade,dragon-knight,chaos-knight,ogre-magi,troll-warlord,spectre,juggernaut,huskar
2765117274,1,Normal,shadow-shaman,alchemist,enchantress,weaver,windranger,arc-warden,enigma,slark,shadow-fiend,axe
2765117275,1,Normal,spectre,drow-ranger,ogre-magi,anti-mage,sniper,juggernaut,weaver,legion-commander,arc-warden,timbersaw
2765117276,1,Normal,outworld-devourer,juggernaut,crystal-maiden,vengeful-spirit,spectre,spirit-breaker,sniper,death-prophet,sand-king,tiny
2765117296,1,Normal,necrophos,drow-ranger,medusa,legion-commander,riki,phantom-assassin,bristleback,keeper-of-the-light,pudge,sniper
2765117298,0,Very High,phoenix,bloodseeker,juggernaut,lion,tinker,ogre-magi,batrider,anti-mage,windranger,mirana
2765117300,1,Normal,crystal-maiden,shadow-shaman,templar-assassin,phantom-assassin,chaos-knight,medusa,ursa,techies,mirana,phoenix
2765117301,0,Unknown,centaur-warrunner,medusa,axe,tiny,dazzle,shadow-shaman,drow-ranger,lion,ogre-magi,phantom-assassin
2765117302,0,Normal,zeus,undying,phantom-assassin,legion-commander,sand-king,ogre-magi,slark,storm-spirit,spectre,juggernaut
2765117304,1,Normal,axe,winter-wyvern,sniper,wraith-king,natures-prophet,kunkka,phantom-assassin,tidehunter,vengeful-spirit,drow-ranger
2765117305,0,Unknown,anti-mage,riki,necrophos,juggernaut,bristleback,clinkz,slark,invoker,pudge,phantom-assassin
2765117306,0,Very High,timbersaw,doom,puck,slark,pudge,juggernaut,leshrac,sand-king,ember-spirit,undying
2765117307,1,Normal,legion-commander,kunkka,disruptor,invoker,faceless-void,drow-ranger,huskar,phantom-assassin,natures-prophet,pugna
2765117310,0,High,ogre-magi,earthshaker,arc-warden,pudge,luna,gyrocopter,centaur-warrunner,pugna,riki,sven
2765117312,0,Normal,juggernaut,omniknight,phantom-lancer,invoker,bristleback,lion,brewmaster,bane,tiny,bounty-hunter
2765117313,1,Normal,viper,zeus,dragon-knight,sniper,slark,juggernaut,outworld-devourer,warlock,legion-commander,dazzle
2765117317,0,High,clockwerk,pudge,juggernaut,earthshaker,invoker,meepo,morphling,axe,rubick,slark
2765117318,0,Normal,crystal-maiden,axe,wraith-king,shadow-fiend,elder-titan,phantom-assassin,mirana,bane,sven,omniknight
2765117331,1,Normal,clinkz,faceless-void,bloodseeker,winter-wyvern,keeper-of-the-light,razor,centaur-warrunner,ogre-magi,pudge,juggernaut
2765117332,0,High,gyrocopter,storm-spirit,riki,razor,legion-commander,juggernaut,magnus,tinker,shadow-shaman,underlord
2765117334,1,Unknown,tinker,phantom-assassin,sven,spirit-breaker,necrophos,enigma,pudge,legion-commander,slark,morphling
2765117337,1,Unknown,templar-assassin,spirit-breaker,drow-ranger,bloodseeker,phantom-assassin,sniper,juggernaut,sand-king,crystal-maiden,shadow-fiend
2765117339,0,Normal,slark,bounty-hunter,alchemist,sniper,mirana,windranger,tiny,winter-wyvern,anti-mage,spirit-breaker
2765117340,1,Normal,phantom-assassin,huskar,magnus,puck,tusk,spirit-breaker,sand-king,troll-warlord,medusa,riki
2765117342,0,Normal,zeus,mirana,pudge,underlord,juggernaut,omniknight,techies,tinker,ursa,weaver
2765117345,1,Very High,vengeful-spirit,faceless-void,magnus,pudge,mirana,winter-wyvern,troll-warlord,necrophos,windranger,spirit-breaker
2765117347,0,Unknown,anti-mage,shadow-shaman,storm-spirit,axe,juggernaut,mirana,slardar,kunkka,troll-warlord,slark
2765117358,0,Normal,bloodseeker,leshrac,storm-spirit,timbersaw,kunkka,phoenix,windranger,phantom-assassin,silencer,lion
2765117360,0,Normal,ogre-magi,abaddon,spectre,lion,legion-commander,juggernaut,centaur-warrunner,enigma,invoker,crystal-maiden
2765117362,1,High,timbersaw,slark,slardar,disruptor,pudge,sand-king,legion-commander,clockwerk,alchemist,outworld-devourer
2765117365,0,Very High,timbersaw,pudge,kunkka,lion,sven,juggernaut,meepo,rubick,spirit-breaker,invoker
2765117367,0,Normal,riki,dragon-knight,chaos-knight,zeus,bloodseeker,witch-doctor,clinkz,luna,morphling,drow-ranger
2765117370,1,Normal,clockwerk,troll-warlord,night-stalker,bloodseeker,rubick,pudge,witch-doctor,dragon-knight,legion-commander,invoker
2765117374,0,Normal,tiny,drow-ranger,pudge,phantom-assassin,sniper,chaos-knight,kunkka,anti-mage,bloodseeker,huskar
2765117375,0,Unknown,phantom-assassin,sand-king,bloodseeker,shadow-fiend,windranger,riki,drow-ranger,bounty-hunter,lion,sniper
2765117377,0,Normal,phantom-assassin,riki,timbersaw,keeper-of-the-light,lina,invoker,clinkz,lion,tusk,juggernaut
2765117379,0,Very High,nyx-assassin,templar-assassin,centaur-warrunner,sven,lion,storm-spirit,mirana,anti-mage,timbersaw,pudge
2765117380,0,Normal,spectre,windranger,spirit-breaker,pudge,dark-seer,sniper,riki,phantom-assassin,sven,invoker
2765117381,1,Normal,tusk,lina,timbersaw,necrophos,sniper,storm-spirit,crystal-maiden,sven,juggernaut,magnus
2765117382,1,Normal,phantom-assassin,spirit-breaker,weaver,bloodseeker,riki,bounty-hunter,axe,meepo,huskar,chaos-knight
2765117385,1,Normal,timbersaw,weaver,wraith-king,lion,shadow-fiend,sniper,ogre-magi,slark,spectre,brewmaster
2765117386,0,Normal,storm-spirit,drow-ranger,bloodseeker,anti-mage,omniknight,legion-commander,arc-warden,bounty-hunter,pudge,bristleback
2765117393,1,High,bloodseeker,meepo,invoker,legion-commander,clinkz,puck,slark,lion,sven,lina
