id,result,dps,push,nuke,durable,disable,initial,healing,ac,var,theta
2761900047,0.0,7.4302222222222225,4.833555555555555,7.177777777777779,7.344444444444444,6.333333333333333,7.625,5.5,0.0,0.0,0.0
2761900051,0.0,7.130888888888888,5.5760000000000005,7.566666666666666,8.544444444444444,8.166666666666666,7.5,6.625,0.0,0.0,0.0
2761900067,0.0,7.209999999999998,3.8428888888888895,5.855555555555555,7.41111111111111,6.166666666666667,6.5,7.5,0.0,0.0,0.0
2761900088,0.0,7.251333333333333,4.451555555555555,6.933333333333334,7.7666666666666675,8.166666666666666,8.375,5.5,0.0,0.0,0.0
2761900092,0.0,7.33888888888889,5.4719999999999995,8.133333333333333,7.777777777777778,7.166666666666667,8.75,2.5,0.0,0.0,0.0
2761900121,0.0,6.326444444444444,4.680222222222223,5.433333333333334,7.144444444444446,6.333333333333333,7.75,7.375,0.0,0.0,0.0
2761900137,0.0,7.276888888888889,5.7328888888888905,7.0888888888888895,7.400000000000001,8.166666666666666,7.625,5.0,0.0,0.0,0.0
2761900204,0.0,6.956666666666667,4.954222222222223,7.277777777777778,8.31111111111111,6.0,6.875,7.625,0.0,0.0,0.0
2761900214,0.0,6.727555555555556,4.877111111111111,7.244444444444444,7.566666666666666,8.833333333333334,9.0,2.375,0.0,0.0,0.0
2761900219,0.0,7.214222222222223,6.297777777777778,8.155555555555555,8.144444444444444,7.166666666666667,8.0,5.25,0.0,0.0,0.0
2761900250,0.0,7.941333333333333,3.4322222222222223,7.588888888888889,7.7555555555555555,7.833333333333333,8.5,7.875,0.0,0.0,0.0
2761900256,0.0,7.542222222222222,5.567777777777779,8.366666666666667,8.355555555555556,7.833333333333333,7.75,6.875,0.0,0.0,0.0
2761900262,0.0,7.912444444444445,4.288888888888889,7.477777777777778,7.677777777777777,7.833333333333333,9.375,4.5,0.0,0.0,0.0
2761900313,0.0,7.3884444444444455,5.119111111111112,8.100000000000001,7.522222222222222,6.666666666666667,8.5,4.75,0.0,0.0,0.0
2761900347,0.0,7.536666666666666,5.883111111111111,6.344444444444445,8.788888888888888,7.666666666666667,8.25,4.5,0.0,0.0,0.0
2761900353,0.0,6.871555555555556,5.561777777777778,8.266666666666666,7.855555555555556,7.833333333333333,7.5,7.375,0.0,0.0,0.0
2761900409,0.0,7.1962222222222225,5.069999999999999,6.177777777777778,7.722222222222222,6.833333333333333,7.875,8.25,0.0,0.0,0.0
2761900425,0.0,7.912,5.460000000000001,6.155555555555556,8.044444444444444,6.333333333333333,8.625,3.25,0.0,0.0,0.0
2761900455,0.0,6.951333333333334,5.658222222222222,7.28888888888889,8.233333333333333,6.333333333333333,8.75,3.25,0.0,0.0,0.0
2761900458,0.0,7.1353333333333335,6.32088888888889,8.022222222222222,6.9222222222222225,6.166666666666667,9.0,7.5,0.0,0.0,0.0
2761900484,0.0,7.15688888888889,5.427777777777778,8.866666666666667,8.488888888888887,8.0,8.375,2.875,0.0,0.0,0.0
